5.000599999999999490e-01,5.027599999999999847e-01,4.972799999999999998e-01,5.076600000000000001e-01,5.030400000000000427e-01,5.011200000000000099e-01,4.983600000000000252e-01,5.034800000000000386e-01,4.982199999999999962e-01,4.991200000000000081e-01,4.999399999999999955e-01,5.006800000000000139e-01,5.001400000000000290e-01,5.029200000000000337e-01,5.001400000000000290e-01,5.012600000000000389e-01,4.974799999999999778e-01,5.008599999999999719e-01,4.995800000000000241e-01,4.989799999999999791e-01,5.018599999999999728e-01,5.057199999999999473e-01,4.994600000000000151e-01,5.009000000000000119e-01
5.000599999999999490e-01,5.005800000000000249e-01,5.031400000000000317e-01,4.982400000000000162e-01,5.006199999999999539e-01,4.988400000000000056e-01,5.004800000000000360e-01,5.019400000000000528e-01,4.996800000000000130e-01,4.995200000000000196e-01,4.993799999999999906e-01,4.966999999999999749e-01,5.002600000000000380e-01,5.030000000000000027e-01,5.000799999999999690e-01,4.996999999999999775e-01,5.004199999999999759e-01,5.010999999999999899e-01,4.973600000000000243e-01,5.014600000000000168e-01,4.987199999999999966e-01,4.988799999999999901e-01,4.995800000000000241e-01,4.983000000000000207e-01
4.946400000000000241e-01,4.997199999999999975e-01,5.018000000000000238e-01,4.994799999999999796e-01,5.001799999999999580e-01,4.962400000000000144e-01,4.990999999999999881e-01,4.979399999999999937e-01,4.975600000000000023e-01,5.025399999999999867e-01,5.035399999999999876e-01,5.044399999999999995e-01,4.947199999999999931e-01,4.974999999999999978e-01,5.008000000000000229e-01,4.986400000000000277e-01,5.006399999999999739e-01,5.018399999999999528e-01,5.033199999999999896e-01,5.009599999999999609e-01,4.996599999999999930e-01,4.984999999999999987e-01,4.984600000000000142e-01,5.019000000000000128e-01
5.035600000000000076e-01,4.984999999999999987e-01,5.013600000000000279e-01,4.964999999999999969e-01,5.012400000000000189e-01,5.006000000000000449e-01,4.974399999999999933e-01,5.013400000000000079e-01,4.956999999999999740e-01,5.009200000000000319e-01,5.003400000000000070e-01,5.065800000000000303e-01,5.010799999999999699e-01,4.995200000000000196e-01,4.972199999999999953e-01,4.968600000000000239e-01,4.978600000000000247e-01,5.008000000000000229e-01,4.971999999999999753e-01,5.024199999999999777e-01,4.978000000000000203e-01,4.996399999999999730e-01,4.983000000000000207e-01,5.022999999999999687e-01
5.027199999999999447e-01,5.005399999999999849e-01,4.997199999999999975e-01,4.985600000000000032e-01,5.007599999999999829e-01,4.978000000000000203e-01,5.003600000000000270e-01,5.004999999999999449e-01,4.935800000000000187e-01,5.014199999999999768e-01,5.021400000000000308e-01,5.011799999999999589e-01,5.001600000000000490e-01,4.944600000000000106e-01,4.962400000000000144e-01,4.993799999999999906e-01,4.978000000000000203e-01,5.024600000000000177e-01,4.986999999999999766e-01,4.989399999999999946e-01,5.010999999999999899e-01,5.003400000000000070e-01,5.033999999999999586e-01,4.976999999999999758e-01
5.000999999999999890e-01,5.038399999999999546e-01,4.990399999999999836e-01,4.998199999999999865e-01,4.989000000000000101e-01,4.996200000000000085e-01,4.984399999999999942e-01,4.998000000000000220e-01,4.976200000000000068e-01,4.959600000000000120e-01,5.016599999999999948e-01,4.991399999999999726e-01,5.022199999999999998e-01,4.993000000000000216e-01,5.013400000000000079e-01,4.991599999999999926e-01,4.992599999999999816e-01,5.059000000000000163e-01,5.016800000000000148e-01,4.966400000000000259e-01,4.973799999999999888e-01,4.974600000000000133e-01,5.009599999999999609e-01,4.999199999999999755e-01
5.007399999999999629e-01,4.999399999999999955e-01,4.967400000000000149e-01,4.971800000000000108e-01,4.971200000000000063e-01,5.020400000000000418e-01,5.009200000000000319e-01,4.965399999999999814e-01,5.018399999999999528e-01,5.023800000000000487e-01,5.010799999999999699e-01,5.001799999999999580e-01,5.004600000000000160e-01,4.989199999999999746e-01,5.037000000000000366e-01,4.999399999999999955e-01,4.988000000000000211e-01,5.024199999999999777e-01,4.985200000000000187e-01,5.003600000000000270e-01,4.950200000000000156e-01,5.008599999999999719e-01,5.010400000000000409e-01,4.943400000000000016e-01
4.955399999999999805e-01,4.981599999999999917e-01,5.016000000000000458e-01,4.984999999999999987e-01,5.021200000000000108e-01,5.006800000000000139e-01,4.996599999999999930e-01,4.979799999999999782e-01,4.982599999999999807e-01,5.006599999999999939e-01,5.059000000000000163e-01,5.011600000000000499e-01,5.024600000000000177e-01,4.982400000000000162e-01,4.978199999999999847e-01,5.003800000000000470e-01,4.993000000000000216e-01,4.988000000000000211e-01,4.964799999999999769e-01,5.010000000000000009e-01,5.001200000000000090e-01,5.016000000000000458e-01,5.017200000000000548e-01,4.995600000000000041e-01
4.949399999999999911e-01,4.897000000000000242e-01,4.997199999999999975e-01,4.989000000000000101e-01,5.003600000000000270e-01,4.969000000000000083e-01,5.001799999999999580e-01,4.981599999999999917e-01,4.957199999999999940e-01,4.985800000000000232e-01,4.995200000000000196e-01,4.997800000000000020e-01,4.982400000000000162e-01,5.100000000000000089e-01,5.022600000000000398e-01,5.013199999999999878e-01,4.977400000000000158e-01,4.991599999999999926e-01,4.995800000000000241e-01,4.978799999999999892e-01,4.968000000000000194e-01,4.978400000000000047e-01,5.021799999999999597e-01,4.977800000000000002e-01
4.980399999999999827e-01,4.978799999999999892e-01,4.901800000000000046e-01,5.031600000000000517e-01,5.031400000000000317e-01,5.006399999999999739e-01,5.000000000000000000e-01,4.974199999999999733e-01,5.009400000000000519e-01,4.946999999999999731e-01,5.016399999999999748e-01,4.978799999999999892e-01,5.015399999999999858e-01,4.965399999999999814e-01,5.080999999999999961e-01,4.986599999999999921e-01,5.009799999999999809e-01,4.987800000000000011e-01,4.996999999999999775e-01,5.000799999999999690e-01,5.016199999999999548e-01,4.980200000000000182e-01,4.960399999999999809e-01,4.999399999999999955e-01
